name,cause of death,born,died,comments
Edwin Traisman (food scientist),Heart disease ,"November 25, 1915","June 5, 2007",Helped to develop Cheez Whiz for Kraft and improved frozen french fries for McDonald's.  Obituary
Mala Powers (actress/teacher),Leukemia. ,"December 20, 1931","June 11, 2007","Starred in Cyrano de Bergerac and Outrage, lots of bit parts on TV.  IBDB  IMDb  Obituary  FindAGrave"
Don Herbert (teacher),Bone cancer. ,"July 10, 1917","June 12, 2007",Mr. Wizard.  Home Page  IMDb  Obituary
Kurt Waldheim (U. N. chief/Austrian president),Heart failure. ,"December 21, 1918","June 14, 2007","Led the U. N. from 1972 to 1982, later served as Austrian president, was a Nazi soldier during WWII,  Home Page  IMDb"
Ed Friendly (TV producer/racehorse owner),Cancer. ,"April 8, 1922","June 17, 2007",Produced Little House on the Prairie and Laugh-in.  IMDb  Obituary
Bob Evans (entreprenuer/farmer),Pneumonia. ,1918,"June 21, 2007",Made sausage and started a restaurant chain (that makes great biscuits!).  Home Page  Obituary
Liz Claiborne (fashion designer),Cancer. ,"March 31, 1929","June 26, 2007",Designer of affordable clothes for women since the mid-70s.  IMDb  FindAGrave
Fred Saberhagen (writer),Cancer. ,"May 18, 1930","June 29, 2007","Wrote the Beserker series, and Dracula novels. Make memorial contributions to: Doctors without Borders. Catholic Relief, SFWA Emergency Medical Fund, or John 23rd Catholic Church, Albuquerque, NM.  Home Page  IMDb"
Joel Siegel (movie critic),Cancer. ,"July 7, 1943","June 29, 2007","Film critic for ABC, co-founder of Gilda's Club.  Home Page  IBDB  IMDb  Obituary  FindAGrave"
Beverly Sills (opera singer/chair of the Met),Cancer. ,"May 25, 1929","July 2, 2007",Soprano with the New York City Opera and later the Met who went on to manage opera companies.  Home Page  IMDb  Obituary  FindAGrave
Boots Randolph (saxophonist),Cerebral hemorrhage. ,"June 3, 1927","July 3, 2007","Performed ""Yakety Sax,"" and accompanied Roy Orbison's ""Pretty Woman"".  Home Page  IMDb  Obituary  FindAGrave"
Kerwin Mathews (actor),,"January 8, 1926","July 5, 2007","Sinbad in The Seventh Voyage of Sinbad, later a landlord in San Francisco.  IMDb  Obituary"
Kathleen E. Woodiwiss (writer),Cancer. ,"June 3, 1939","July 6, 2007","One of the first mega-romance writers, starting with The Flame in the Flower in 1972.  Obituary"
Charles Lane (previously busy actor),,"January 26, 1905","July 9, 2007","In over 200 movies and almost as many TV shows; usually showed up as a tall, white-haired, stern old man in shows with Lucille Ball, semi-regular on Petticoat Junction (Homer Bedloe).  Home Page  IMDb  Obituary"
Doug Marlette (cartoonist),Car crash. ,circa 1950,"July 10, 2007",Pulitzer Prize winning political cartoonist who also drew Kudzu and wrote books.  Home Page  IMDb  Obituary
Lady Bird Johnson (former First Lady),,"December 22, 1912","July 11, 2007","Gardening promoter, highway beautifier.  Home Page  Home Page"
Ulrich Muehe (actor),Stomach cancer. ,"June 20, 1953","July 22, 2007","Starred as the wire tapper Hauptmann in the great German movie The Lives of Others, very busy on German TV.  IMDb"
Albert Ellis (psychiatrist/writer),Heart/kidney failure. ,"September 27, 1913","July 24, 2007","Influential psychiatrist who developed Rational Emotive Behavior Therapy, an early sex therapist, wrote many books including Guide to Rational Living.  Home Page  IMDb  Obituary"
William Tuttle (Make-up artist),,"April 13, 1912","July 27, 2007","Worked on over two hundred movies, including The Time Machine, Seven Faces of Dr. Lao, and Young Frankenstein, briefly married to Donna Reed.  IMDb  Obituary  FindAGrave"
Tom Snyder (Talk show host),Leukemia. ,"May 12, 1936","July 29, 2007","Tomorrow Show, The Late, Late Show.  IMDb"
Michelangelo Antonioni (director),,"September 29, 1912","July 30, 2007","Blow-up, won an honorary Oscar in 1995.  Home Page  IMDb  Obituary"
Ingmar Bergman (director),,"July 14, 1918","July 30, 2007","Made many great movies, including Scenes from a Marriage, Persona, and Fanny and Alexander, nominated for a number of Oscars.  Home Page  IMDb  Obituary"
James T. Callahan (actor),Esophageal cancer. ,"October 4, 1930","August 3, 2007","The grandfather in Charles in Charge, busy TV actor for over 40 years.  IMDb  Obituary  FindAGrave"
Merv Griffin (singer/producer),Prostate cancer. ,"July 5, 1925","August 12, 2007",Talk show host and singer who also created game shows like Jeopardy! and Wheel of Fortune.  IMDb  Obituary  FindAGrave
Phil Rizzuto (sportscaster/baseball player),Pneumonia. ,"September 25, 1917","August 13, 2007",Yankee shortstop and MVP.  Home Page  IMDb  FindAGrave
Brooke Astor (philanthropist),Pneumonia. ,"March 30, 1902","August 13, 2007","Donated substantial sums to the New York Public Library, Carnegie Hall, the Museum of Natural History, Central Park, the Bronx Zoo, the Metropolitan Museum of Art, and the Apollo Theater.  IMDb"
Max Roach (jazz drummer/composer),,"January 10, 1924","August 16, 2007","Made the drums a more important part of jazz groups, played with Dizzy Gillespie, first jazz musician to win a MacArthur Fellowship, married to Abbey Lincoln in the '60s.  Home Page  IMDb  Obituary"
Stephen Bicknell (writer/organ restorer),,"December 20, 1957","August 18, 2007","Restored pipe organs all over the UK, wrote The History of the English Organ.  Home Page  Obituary"
Leona Helmsley (businesswoman/ex-con),Heart failure (how appropriate!). ,"July 4, 1920","August 20, 2007","Difficult person who managed many hotels for her husband Harry, nicknamed ""The Queen of Mean,"" willed $12 million to her dog, once said ""Only the little people pay taxes,"" she served time for tax evasion.  Obituary  FindAGrave"
Grace Paley (writer/anti-war activist),Breast cancer. ,"December 11, 1922","August 22, 2007","Short story writer (Enormous Changes at the Last Minute), poet and anti-war activist.  Home Page  IMDb"
Richard Jewell (historical footnote/former security guard),Complications of diabetes. ,"November 17, 1962","August 29, 2007","Found the pipe bomb at the '96 Atlanta Olympics, later accused of planting it but later cleared due to lack of evidence (anti-abortion terrorist Eric Robert Rudolph actually left the bomb).  IMDb"
Miyoshi Umeki (actress),Cancer. ,"May 8, 1929","August 29, 2007","First Asian actor to win an Oscar (Sayonara, in 1957), starred on Broadway (Flower Drum Song), retired after co-starring in The Courtship of Eddie's Father in the early '70s.  IBDB  IMDb  Obituary"
Michael Jackson (beer hunter/writer),Complications of Parkinsons/Heart attack. ,"March 27, 1942","August 30, 2007","Beer and whisky expert, wrote many books and tried many, many kinds of drinks, had been recently writing about slow foods.  Home Page  Obituary"
Steve Fossett (pilot/aviation record-holder),,"April 22, 1944","September 3, 2007",Set records for being the first person to fly around the world without refueling and the first person to fly a balloon solo around the world. His death was unconfirmed for about a year until his crashed plane and bones were discovered.  IMDb
Madeleine L'Engle (writer),,"November 29, 1918","September 6, 2007","Won the Newbery Award for A Wrinkle in Time, Make memorial contributions to: Crosswicks Foundation  Home Page  IMDb  Obituary"
Luciano Pavarotti (opera star),Pancreatic cancer. ,"October 12, 1935",2007-09-06,"One of the greatest tenors ever, performed with ""The Three Tenors,"" a group which helped popularize opera.  Home Page  IMDb  Obituary  FindAGrave"
Jane Wyman (actress),,"January 5, 1917","September 10, 2007","Johnny Belinda, Falcon Crest, an ex-wife of Ronald Reagan.  Home Page  IMDb  Obituary  FindAGrave"
Brett Somers (actress),,"July 11, 1924","September 15, 2007","Match Game player, Jack Klugman's long-separated wife in real life, she played his ex-wife in The Odd Couple.  Home Page  IBDB  IMDb  Obituary  FindAGrave"
Robert Jordan (writer),Primary amyloidosis with cardiomyopathy. ,"October 17, 1948","September 16, 2007","Writer of huge books, the Wheel of Time Fantasy series.  Home Page"
Alice Ghostley (actress),Colon cancer/strokes. ,"August 14, 1924","September 21, 2007","Lots of comic parts on TV (particularly Bewitched and Designing Women) and in the movies, named a ""New Face of 1952.""  IBDB  IMDb  Obituary"
Marcel Marceau (mime),,"March 22, 1923","September 22, 2007","French mime, had the only spoken line in Silent Movie, member of the French Resistance, helped hide Jewish children from the Nazis and later served as a translator for US troops.  Home Page  twitter  IBDB  IMDb  Obituary  FindAGrave"
Lois Maxwell (actress),,"February 14, 1927","September 29, 2007",Miss Moneypenny in 14 James Bond movies.  IMDb  Obituary
George Grizzard (actor),Lung cancer. ,"April 1, 1928","October 2, 2007","Star of stage (Who's Afraid of Virginia Woolf?, A Delicate Balance), screen (Advise and Consent, Flags of Our Fathers) and TV (The Adams Chronicles, Law and Order).  IBDB  IMDb  Obituary"
Robert Bussard (physicist),Cancer. ,"August 11, 1928","October 6, 2007","Inventor of the Bussard ramjet, a space drive powered by hydrogen fusion.  Obituary"
Carol Bruce (actress),Chronic obstructive pulmonary disease. ,"November 15, 1919","October 9, 2007","Stage actress, Moma on WKRP in Cincinnati.  IBDB  IMDb  Obituary  FindAGrave"
Lonny Chapman (actor/teacher),Heart disease. ,"October 1, 1920","October 12, 2007","Very busy TV actor in the '60s and '70s, was in the original Broadway cast of Come Back Little Sheba, started his own theater company in California and taught acting.  Home Page  IBDB  IMDb  FindAGrave"
Sigrid Valdis (actress),Lung cancer. ,"September 21, 1935","October 14, 2007","Hilda on Hogan's Heroes, married to Bob Crane.  IMDb  Obituary  FindAGrave"
Deborah Kerr (actress),Parkinson's disease. ,"September 30, 1921","October 16, 2007","The King and I, An Affair to Remember, won an honorary Oscar in 1994.  Home Page  IBDB  IMDb  Obituary  FindAGrave"
Joey Bishop (comedian),,"February 3, 1918","October 17, 2007","Last surviving Rat Packer, had a late night talk show for two years that succumbed to The Tonight Show.  twitter  IBDB  IMDb  Obituary  FindAGrave"
Teresa Brewer (singer),Neuromuscular disease. ,"May 7, 1931","October 17, 2007","'50s pop star, sang ""Music, Music, Music"".  Home Page  IMDb  Obituary  FindAGrave"
Peg Bracken (writer),,"February 25, 1918","October 20, 2007",The I Hate to Cook Book.  Home Page  Obituary
Eve Curie Labouisse (humanitarian/writer),,"December 6, 1904","October 22, 2007","Wrote the first major biography of her Nobel-prize winning mother (Madame Curie), traveled extensively in the '50s and '60s with her husband who ran the United Nations Children's Fund.  Home Page  IMDb"
"Friedman Paul ""Chef Tell"" Erhardt (chef/writer)",Heart failure/diabetes. ,"November 5, 1943","October 26, 2007",Philadelphia-based chef whose short cooking clips were syndicated across America during the '80s and '90s.  Home Page  IMDb  Obituary
Porter Wagoner (country singer),Lung cancer. ,"August 12, 1927","October 28, 2007","""Green, Green Grass of Home"", helped launch the career of Dolly Parton, had a long-running TV show.  Home Page  IMDb  Obituary  FindAGrave"
Robert Goulet (singer/actor),Pulmonary fibrosis (died awaiting a lung transplant). ,"November 26, 1933","October 30, 2007","His magnificent voice led to being cast as Lancelot in the original Broadway Camelot; married to Carol Lawrence during the '60s and '70s, did some funny commercials for Emerald Nuts in the months before he died.  Home Page  IBDB  IMDb  Obituary  FindAGrave"
Paul Tibbets (pilot),,"February 23, 1915","November 1, 2007","Served as a pilot throughout World War II, best-known for piloting the Enola Gay which dropped the first A-bomb on Hiroshima.  Home Page  IMDb  Obituary  FindAGrave"
Laraine Day (actress),,"October 13, 1917","November 10, 2007","Foreign Correspondent, Nurse Lamont in many Dr. Kildaire movies, married to Leo Durocher for thirteen years.  IMDb  Obituary  FindAGrave"
Norman Mailer (writer),Kidney failure. ,"January 31, 1923","November 10, 2007","Controversial, pugnacious writer, acclaimed for his first novel The Naked and the Dead, he was considered counter-cultural in the '50s and helped found The Village Voice.  Home Page  IMDb  Obituary"
Delbert Mann (director),Pneumonia. ,"January 30, 1920","November 11, 2007","Marty, Separate Tables.  IMDb  Obituary  FindAGrave"
Ira Levin (writer),Heart attack. ,"August 27, 1929","November 13, 2007","Wrote Rosemary's Baby, The Stepford Wives. and Deathtrap.  IBDB  IMDb  Obituary  FindAGrave"
Dick Wilson (actor),,"July 30, 1916","November 18, 2007","Lots of bit parts on TV, most-seen as Mr. Whipple in the Charmin commercials.  IMDb  Obituary  FindAGrave"
Herbert Saffir (Building engineer),Following surgery. ,"March 29, 1917","November 22, 2007",Co-developed the Saffir-Simpson Hurricane Score.  Obituary
Verity Lambert (TV producer),,"November 27, 1935","November 22, 2007","First female and youngest producer for BBC television, oversaw the first two seasons of Dr. Who, later produced The Naked Civil Servant.  twitter  IMDb  Obituary"
Robert Cade (nephrologist),Kidney disease. ,"September 27, 1927","November 27, 2007","A medical researcher at the University of Florida who invented the first sports drink, GatorAde, back in the '60s.  Home Page  Obituary  FindAGrave"
Evel Knievel (Daredevil),"Diabetes, pulmonary fibrosis. ","October 17, 1938","November 30, 2007",Famous for spectacular motorcycle stunts in the '70s.  Home Page  IMDb  Obituary
Ike Turner (??/singer/songwriter),Cocaine overdose. ,"November 5, 1931","December 12, 2007","Wasted a potentially great career, Proud Mary.  IMDb  Obituary  FindAGrave"
Judith Meuli (writer),Multiple myeloma. ,"February 15, 1938","December 14, 2007","A founder of the Feminist Majority, active in NOW, edited The Feminist Chronicles with longtime partner Toni Carabillo.  Obituary"
"Floyd ""Red Crow"" Westerman (musician/actor)",Leukemia. ,"August 17, 1936","December 13, 2007","Dances with Wolves, Hidalgo, Northern Exposure, performed with artists like Bonnie Raitt and Willie Nelson, founded the Eyapaha Institute.  Home Page  IBDB  IMDb"
